Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
CRIS,Curis Inc.,5.0600,8.633999999999999; 8.531999999999998; 8.421999999999999; 8.315999999999999; 7.6; 8.12; 8.42; 8.559999999999999; 7.234; 6.803999999999999; 4.116; 6.42; 8.84; 10.442; 8.441999999999998; 6.932; 5.94; 5.29; 4.935,Emavusertib (CA-4948) and pembrolizumab,NCT05669352,Melanoma,phase1,Enrollment Initiation,Initial Data,2026-12-31,"Consented the first six patients in the TakeAim CLL study evaluating emavusertib, noted July 6, 2026. Initial clinical data are expected in December 2026",,100,100,Bull -% / Neutral -% / Bear -%,9861611,2026-07-06 14:46:53,1948935
MRK,Merck & Company Inc.,124.9350,118.21547300215983; 119.87320950323974; 118.1757667386609; 114.9; 115.17; 115.44; 113.87; 115.48; 119.6; 120.6; 125.45; 128.66; 129.38; 128.5; 125.37; 129.56; 126.78; 128.86; 125.99,Emavusertib (CA-4948) and pembrolizumab,NCT05669352,Melanoma,phase1,Enrollment Initiation,Initial Data,2026-12-31,"Consented the first six patients in the TakeAim CLL study evaluating emavusertib, noted July 6, 2026. Initial clinical data are expected in December 2026",,100,100,Bull -% / Neutral -% / Bear -%,308567513288,2026-07-06 14:46:53,2469824415
FATE,Fate Therapeutics Inc.,3.1450,1.87; 1.97; 2.06; 2.01; 1.9; 1.96; 2.09; 2.15; 2.16; 2.06; 1.87; 2.1; 2.42; 2.7; 3.02; 2.92; 2.99; 3.02; 2.93,FT819-102,NCT06308978,Moderate-to-severe Systemic Lupus Erythematosus & Systemic Sclerosis (SSc),phase1,Ongoing,Conference Presentation,2026-07-09,"Phase 1 data on the systemic sclerosis arm highlighting the first four treated patients as of June 12, 2026; this data will be presented at ISSCR on July 9, 2026. Phase 1 data presented at EULAR demonstrated rapid and sustained clinical improvement with a favorable tolerability profile observed following treatment, noted June 4, 2026.",International Society for Stem Cell Research (ISSCR) 10/07/2024 ET - 13/07/2024 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,366578640,2026-07-06 09:14:36,116559186
CRVO,CervoMed Inc.,3.4950,2.25; 2.44; 2.45; 2.48; 4.52; 3.81; 4.24; 4.13; 3.72; 3.26; 3.35; 3.49; 3.15; 3.1; 3.69; 3.55; 3.57; 3.42; 3.41,Neflamapimod - (RewinD-LB),NCT05869669,Dementia with Lewy bodies (DLB),phase3,Trial Planned,Conference Presentation,2026-07-14,"Phase 2 results to be shared at AAIC on July 14, 2026. Phase 3 trial planned for 2H 2026.  Phase 2 data from AAN reported a mean change from baseline in right BF volume decreased with placebo and increased with neflamapimod vs. placebo, noted April 22, 2026. Additional Phase 2 data presented at AD/PD reported that there was a notable difference between DP Batch A (50%) and DP Batch B (75%) with respect to the number of participants reaching the threshold Ctrough target of 4 ng/mL, noted  March 19, 2026.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,47274184,2026-07-06 07:56:14,13526233
CGON,"CG Oncology, Inc.",72.5000,54.92; 57.64; 59.56; 59.55; 60.28; 60.43; 61.08; 66.25; 65.73; 68.72; 72.84; 71.96; 73.73; 71.05; 70.89; 70.36; 69.26; 69.2; 69.8,cretostimogene  - (PIVOT-006) (EAP),NCT06111235,Non-Muscle Invasive Bladder Cancer (NMIBC),phase3,Ongoing,Topline Data,2026-12-31,"Phase 3 dosing initiated, noted February 27, 2024.  Phase 3 topline data expected 1H 2026. BLA planned for 4Q 2026.",,100,100,Bull -% / Neutral -% / Bear -%,6394679293,2026-07-06 07:48:16,88202473
VERA,Vera Therapeutics Inc.,42.2200,31.62; 33.65; 34.26; 34.24; 33.67; 35.01; 35.09; 38.43; 38.2; 39.51; 40.5; 42.46; 43.15; 42.91; 42.66; 41.2; 40.13; 42.96; 42.43,Atacicept - (PIONEER),NCT06983028,Expanded IgAN populations,phase2,Ongoing,Initial Data,2026-12-31,Phase 2 data due in 2026. BLA filing planned.,,100,100,Bull -% / Neutral -% / Bear -%,3030674207,2026-07-06 07:45:26,71782904
MOLN,Molecular Partners AG,3.9665,3.72; 3.71; 4.11; 3.85; 3.92; 3.9; 3.82; 3.95; 3.81; 3.8; 3.93; 3.8; 3.96; 3.87; 3.93; 3.98; 4; 4.09; 4.09,[212Pb] Pb-MP0712,NCT07278479,Small-cell lung cancer (SCLC) and other DLL3+ neuroendocrine tumors,phase1,Enrollment Initiation,Initial Data,2027-12-31,"Phase 1/2 initial data due in 2027. Phase 1/2 trial initiated July 2, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,160100216,2026-07-06 07:32:37,40363095
CANF,Can-Fite Biopharma Ltd American Depositary Shares each representing two (2),3.2800,2.82; 2.85; 2.84; 2.99; 3; 3.03; 2.98; 3.06; 3.05; 2.99; 2.94; 2.75; 2.92; 2.97; 4.63; 3.91; 3.8; 3.48; 3.25,Piclidenoson - (COMFORT),NCT03168256,Psoriasis,phase3,Enrollment Conclusion,Interim Data,2027-03-31,Completed patient enrollment of the first 247 patients for the pre-specified interim analysis in the pivotal Phase 3 trial. Interim safety and efficacy data are expected in Q4 2026/Q1 2027.,,100,100,Bull -% / Neutral -% / Bear -%,7027554,2026-07-06 07:19:21,2142547
BLTE,Belite Bio Inc,152.8300,136.62; 136.85; 138.16; 144.24; 138.19; 148.34; 146.12; 147.07; 145.09; 150.77; 149.83; 148.73; 154.65; 153.985; 142.31; 146.63; 154.02; 157.69; 152.3,Tinlarebant (LBS-008) - (DRAGON),NCT05244304,Stargardt disease (STGD1),phase4,Ongoing,Conference Presentation,2026-07-18,"NDA submission completed June 15, 2026. Phase 3 topline results to be shared at ASRS on July 18, 2026.",American Society of Retinal Specialists (ASRS) 28/07/2023 ET - 01/08/2023 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,6012326087,2026-07-06 07:10:59,39339960
ATAI,AtaiBeckley Inc.,5.3350,3.78; 3.8; 3.92; 3.84; 4.14; 4.07; 4.06; 4.05; 4.1; 4.17; 4.58; 5.29; 5.36; 5.27; 4.88; 5.19; 4.96; 5.19; 5.17,VLS-01 - (Elumina),NCT06524830,Treatment Resistant Depression,phase2,Ongoing,Topline Data,2026-12-31,"Phase 2b topline data expected 4Q 2026. Phase 2 topline data slower than expected now anticipated by 4Q 2026. Phase 2 study dosing commenced, noted March 11, 2025. Phase 1b dosing commenced March 4, 2024. Phase 1b topline data reported that treatment demonstrated a favorable safety profile and was well tolerated, with all adverse events classified as either mild or moderate, and most resolving on the day of dosing, noted August 13, 2024.",,100,100,Bull -% / Neutral -% / Bear -%,1964169206,2026-07-06 07:08:53,368166674
PHVS,Pharvaris N.V.,35.9300,31.51; 32.2; 30.72; 31.54; 31.46; 33.41; 32.8; 33; 33.19; 33.29; 33.3; 34.01; 34.71; 34.58; 33.95; 33.86; 33.22; 34.59; 35.925,deucrictibant IR (PHVS416) - (RAPIDe-3),NCT06343779,Hereditary angioedema - on demand,phase5,Ongoing,Regulatory Decision,2027-04-23,"PDUFA date on April 23, 2027.",,100,100,Bull -% / Neutral -% / Bear -%,2503115656,2026-07-06 07:06:23,69666453
TENX,Tenax Therapeutics Inc.,17.8350,10.55; 10.73; 11.48; 11.55; 11.33; 11.87; 12; 12.25; 13.64; 12.93; 12.89; 13.44; 13.5; 14.55; 13.29; 15.46; 16.26; 17.38; 17.73,TNX-103 (oral levosimendan) - (LEVEL),NCT05983250,Pulmonary Hypertension with Heart Failure with Preserved Ejection Fraction (PH-HFpEF),phase3,Ongoing,Topline Data,2026-08-29,"Phase 3 results to be shared at the European Society of Cardiology (ESC) Congress 2026 on August 29, 2026.",European Society of Cardiology (ESC) Congress 25/08/2023 ET - 28/08/2023 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,473076211,2026-07-02 07:27:05,26525159
