Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
LLY,Eli Lilly and Company,1082.9200,872.4979685094124; 849.7471347538867; 932.993823076541; 961.6744485173597; 966.2665430884617; 987.1705562012617; 985.3536840013908; 973.2844615308202; 946.8200208612726; 965.3281585456714; 988.1688376297622; 1014.0043609993544; 1004.9699140714251; 1004.92; 988.09; 1021.41; 1018.87; 1041.65; 1065; 1064.74; 1082.92,(Z)-endoxifen with abemaciclib (VERZENIO) - (EVANGELINE),NCT05607004,Pre-menopausal women w/ early-stage estrogen receptor positive and Human Epidermal Growth Factor Receptor 2 negative breast cancer,phase2,Data Released,Conference Presentation,2026-06-01,"Phase 2 data to be shared at ASCO on June 1, 2026. Phase 2 data to be shared in 2H 2026. Phase 2 data from SABCS reported that 50 percent of patients (3/6) in the group that received 80 mg of (Z)-endoxifen with goserelin met the target steady-state plasma concentrations (Css) of 500–1000 ng/m, noted December 12, 2024. Phase 2 Run-in cohort enrollment completed, noted July 22, 2024.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,16.21,33.71,Bull -% / Neutral -% / Bear -%,1019830603386,2026-05-27 10:11:46,941741406
GMAB,Genmab A/S,26.7100,26.79; 26.11; 26.52; 26.45; 27.04; 27.52; 27.89; 27.06; 26.43; 26.18; 27.09; 26.55; 26.9; 26.54; 26.37; 25.68; 27.21; 27.05; 26.87; 26.89; 26.71,EPCORE - (NHL-6),NCT05451810,Non-Hodgkin Lymphoma (NHL),phase2,Ongoing,Conference Presentation,2026-06-01,"Phase 2 data to be presented at ASCO on May 29-June 1, 2026. Phase 2 data presented at the Society of Hematologic Oncology (SOHO) demonstrated that the incidence and severity of cytokine release syndrome (CRS) and immune cell-associated neurotoxicity syndrome (ICANS) following treatment with epcoritamab were consistent with previous epcoritamab studies in R/R DLBCL, noted September 3, 2025.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,16.21,33.71,Bull -% / Neutral -% / Bear -%,17158078777,2026-05-22 07:28:15,642384080
CLRB,Cellectar Biosciences Inc.,3.1400,2.56; 2.5595; 2.6; 2.69; 2.83; 3.18; 3.53; 3.3; 3.1; 3.06; 2.92; 2.94; 3.2; 3.09; 3.14; 3.06; 3.17; 3.17; 3.2; 3.1; 3.14,Iopofosine (CLR 131) - (CLOVER-WaM),NCT02952508,Waldenstrom’s macroglobulinemia (WM),phase2,Data Released,Conference Presentation,2026-06-01,"Phase 2b data to be presented at ASCO on June 1, 2026. The company planned and will seek priority review. Phase 2b data reported an 83.6% ORR and 61.8% MRR achieved in heavily pretreated population with median duration of response of 17.8 months, noted May 5, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,22.59,38.96,Bull 100% / Neutral 0% / Bear 0%,25094290,2026-05-05 07:57:03,7991812
FENC,Fennec Pharmaceuticals Inc.,9.9700,6.7; 6.26; 6.49; 6.54; 6.65; 6.72; 7.18; 6.9; 6.93; 7.1; 7.03; 6.77; 9.24; 9.75; 9.6; 9.76; 9.75; 9.97; 9.93; 9.89; 9.97,STS-J01,,Non-metastatic solid tumors,phase3,Data Released,Conference Presentation,2026-06-01,"Phase 2/3 study met its primary endpoint, noted December 2, 2025. Phase 2/3 data to be presented at ASCO on June 1, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,21.13,33.71,Bull -% / Neutral -% / Bear -%,347199759,2026-05-14 07:41:46,34541000
ONC,BeOne Medicines Ltd.,300.0100,298.16; 290.8; 295.27; 293.86; 297.14; 297.49; 313.32; 317; 312.12; 310.75; 315.07; 316.55; 304.62; 293.27; 293.09; 297.01; 308.74; 309.62; 310.25; 302.44; 300.01,Sonrotoclax + zanubrutinib vs venetoclax + acalabrutinib - (CELESTIAL-TNCLL-2),,Treatment-naive chronic lymphocytic leukemia,phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 data to be presented at ASCO on June 1, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,33353319540,2026-05-22 14:42:46,111174026
BMY,Bristol-Myers Squibb Company,57.5200,58.26; 57.59; 60.59; 58.22; 57.38; 56.95; 56.59; 56.25; 56.16; 55.67; 56.45; 56.39; 56.77; 57; 57.31; 58.31; 58.54; 59.55; 59.46; 58.03; 57.52,Izalontamab brengitecan vs chemotherapy - (PANKU-Esophagus01),,Recurrent or metastatic esophageal squamous cell carcinoma (ESCC),phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 presentation due at ASCO on June 1, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,117459938127,2026-05-22 14:16:57,2042071247
GMAB,Genmab A/S,26.7100,26.79; 26.11; 26.52; 26.45; 27.04; 27.52; 27.89; 27.06; 26.43; 26.18; 27.09; 26.55; 26.9; 26.54; 26.37; 25.68; 27.21; 27.05; 26.87; 26.89; 26.71,Rinatabart sesutecan - (RAINFOL-03),,Endometrial cancer,phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 data to be presented at ASCO on June 1, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,17158078777,2026-05-22 07:29:22,642384080
AAPG,Ascentage Pharma Group International,20.9000,22.48; 22.875; 23.34; 22.02; 21.9; 21.57; 21.7; 21.5; 21.66; 21.16; 21.38; 20.18; 19.4999; 18.56; 18.99; 19.78; 20.66; 21.01; 20.127; 20.9,Olverembatinib (HQP1351)  - (POLARIS-2),,Chronic-phase chronic myeloid leukemia,phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 trial ongoing with presentation of trial due at ASCO on June 1, 2026. Phase 3 EHA data due on June 13, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,1950608453,2026-05-22 07:04:54,93330548
AAPG,Ascentage Pharma Group International,20.9000,22.48; 22.875; 23.34; 22.02; 21.9; 21.57; 21.7; 21.5; 21.66; 21.16; 21.38; 20.18; 19.4999; 18.56; 18.99; 19.78; 20.66; 21.01; 20.127; 20.9,Lisaftoclax - (GLORA),,Relapsed/refractory chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL),phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 trial ongoing with presentation of trial due at ASCO on June 1, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,1950608453,2026-04-22 05:21:30,93330548
BGNE,BeiGene Ltd.,184.7100,,Sonrotoclax (sonro) in combination with zanubrutinib (zanu),,"Chronic lymphocytic leukemia/small lymphocytic leukemia, relapsed/refractory (R/R) mantle cell lymphoma (MCL)",phase3,Ongoing,Conference Presentation,2026-06-01,"Phase 3 trial data due to be presented at EHA on June 1, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,19693415398,2026-05-21 07:20:40,106618025
