Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
OCUL,Ocular Therapeutix Inc.,8.9500,9.77; 9.71; 9.71; 9.68; 9.65; 9.28; 9.16; 9.24; 9.5; 9.16; 8.38; 7.99; 8.03; 8.22; 8.23; 8.29; 8.54; 9.15; 9.01,AXPAXLI (OTX-TKI) - (HELIOS-3),NCT05695417,Non-proliferative diabetic retinopathy (NPDR),phase3,Data Released,Initial Data,2026-06-30,"Phase 3 OLE program design update expected in June 2026. Phase 1 safety and efficacy data shared on October 9, 2025. Phase 1 received a written agreement regarding trial design under a Special Protocol Assessment (SPA), noted August 12, 2025.  Phase 3 dosing commenced, noted November 24, 2025.",,49.99,59.89,Bull -% / Neutral -% / Bear -%,1959695204,2026-05-05 15:04:27,218960358
AZN,AstraZeneca PLC,180.8200,183.46; 181.24; 184.92; 182.52; 182.85; 181.86; 184.54; 187.72; 184.96; 181.58; 183.92; 184.64; 187.46; 189.75; 187.03; 187.19; 185.65; 185.33; 185.67,ENHERTU (trastuzumab deruxtecan) - (DESTINY-Lung04),NCT05048797,Non-squamous non-small cell lung cancer (NSCLC),phase3,Ongoing,Topline Data,2026-06-30,"Phase 3 study initiated, noted December 23, 2021. Phase 3 data due in 1H 2026.",,48.08,54.19,Bull 0% / Neutral 0% / Bear 100%,560754552489,2026-04-29 09:55:59,3101451738
CADL,Candel Therapeutics Inc.,8.5200,7.53; 7.67; 7.63; 7.79; 8.35; 8.85; 8.72; 8.94; 8.91; 8.77; 7.9; 7.66; 7.71; 7.93; 7.99; 7.95; 8.05; 8.09; 8.3,Aglatimagene besadenovec (CAN-2409) - (ULYSSES),NCT02768363,Prostate Cancer (Active Surveillance),phase3,Data Released,Interim Data,2026-06-30,"Phase 3 data expected in 2Q 2026 and novel biomarker in 3Q 2026. Phase 3 data presented at SITC on November 7, 2025. Phase 3 data from ASCO reported a significant improvement in DFS (p=0.0155) with a 30% reduction (HR 0.7) in the risk for prostate cancer recurrence or death due to any cause in patients who received CAN-2409 (n=496) compared to placebo (n=249), noted May 23, 2025. BLA submission planned.",,48.08,54.19,Bull -% / Neutral -% / Bear -%,624262436,2026-03-12 13:26:04,73270239
UTHR,United Therapeutics Corporation,546.8875,581.22; 572.2; 596.76; 569.18; 564.94; 569.88; 581.74; 579.54; 575.79; 568.58; 566.99; 566.8; 563.93; 565.87; 568.43; 578.43; 570.75; 562.09; 556.82,TYVASO (treprostinil) - (TETON),NCT04708782,Idiopathic Pulmonary Fibrosis,phase3,,,2026-06-30,"Phase 3 preliminary data presented at ATS May 21, 2023. Phase 3 trial initiation announced June 3, 2021. Phase 3 data due in 1H 2026.",,60.58,67.44,Bull 0% / Neutral 100% / Bear 0%,23213587694,2025-07-30 10:22:51,42446733
ADCT,ADC Therapeutics SA,3.4150,3.68; 3.76; 3.86; 3.75; 3.5; 3.48; 3.43; 3.48; 3.36; 3.25; 3.17; 3.14; 3.24; 3.4; 3.39; 3.51; 3.43; 3.45; 3.4,ZYNLONTA (Loncastuximab Tesirine) and RITUXAN (rituximab) - (LOTIS-5),NCT04384484,Diffuse Large B-Cell Lymphoma (DLBCL),phase3,Ongoing,Topline Data,2026-06-30,BLA planned. Phase 3 topline results and prespecified PFS event target due in 2Q 2026.,,48.08,54.19,Bull -% / Neutral -% / Bear -%,434357805,2026-05-04 07:51:38,127191158
NVCR,NovoCure Limited,16.7800,16.93; 15.88; 16.495; 16.83; 17.89; 18.1; 18.31; 18.1; 18.05; 17.58; 17.46; 17.01; 17.75; 17.9; 17.96; 18.26; 16.99; 17.25; 17.04,Optune (EF-32) - (TRIDENT),NCT04471844,Glioblastoma Multiforme,phase3,Ongoing,Topline Data,2026-06-30,"Phase 3 trial enrollment has commenced - December 10, 2020. Phase 3 trial enrollment completed with final data anticipated in 2Q 2026.",,48.08,54.19,Bull -% / Neutral -% / Bear -%,1943475373,2026-05-04 16:49:44,115820940
IONS,Ionis Pharmaceuticals Inc.,75.4650,75.45; 75.25; 76.85; 76.02; 75.71; 75.38; 75.83; 77.6; 75.68; 74.23; 72.52; 73.84; 75.06; 75.78; 75.56; 76.07; 76.49; 77.33; 76.5,Pelacarsen (TQJ230) (AKCEA-APO(a)-LRx),,Hyperlipoproteinemia(a) and established cardiovascular disease,phase3,Ongoing,Initial Data,2026-06-30,Phase 3 data due 1H 2026.,,51.3,58.4,Bull 100% / Neutral 0% / Bear 0%,12471538789,2026-02-25 07:46:51,165262556
HRMY,Harmony Biosciences Holdings Inc.,31.6700,32.59; 32.34; 32.78; 31.42; 30.99; 30.18; 30.15; 30.83; 30.76; 30.09; 29.83; 30.44; 31.38; 30.49; 30.15; 30.09; 30.76; 31.49; 31.59,WAKIX - (Pitolisant GR),,GI symptoms,phase4,Ongoing,Submission,2026-06-30,NDA submission due in 2Q 2026. PDUFA date in 1Q 2027.,,51.3,58.4,Bull -% / Neutral -% / Bear -%,1833461049,2026-05-07 08:20:59,57892676
LLY,Eli Lilly and Company,1079.0400,966.2665430884617; 987.1705562012617; 985.3536840013908; 973.2844615308202; 946.8200208612726; 965.3281585456714; 988.1688376297622; 1014.0043609993544; 1004.9699140714251; 1004.92; 988.09; 1021.41; 1018.87; 1041.65; 1065; 1064.74; 1082.92; 1126.8; 1105,Orforglipron - (ACHIEVE-4),NCT05803421,Type 2 Diabetes,phase4,Data Released,Submission,2026-06-30,"Phase 3 topline data reported that the trial met the primary objective of non-inferiority vs. insulin glargine with a 16% lower risk of MACE-4 events and a 23% lower risk of MACE-3 events, noted April 16, 2026.  Regulatory submission planned for 2Q 2026.",,56.16,63.84,Bull -% / Neutral -% / Bear -%,1016176646730,2026-04-16 07:06:02,941741406
HCM,HUTCHMED (China) Limited,11.6250,13.22; 13.3; 13.43; 13.31; 13.13; 12.87; 12.67; 12.67; 12.69; 12.51; 11.95; 12.06; 11.91; 12.04; 11.99; 11.75; 11.72; 11.23; 11.45,Sovleplenib - (China trial),NCT05535933,Warm antibody autoimmune hemolytic anemia (wAIHA),phase4,Ongoing,Submission,2026-06-30,"NDA accepted by Chinese regulatory authorities, noted January 11, 2024. sNDA submission expected in 1H 2026.",,57.99,65.84,Bull -% / Neutral -% / Bear -%,2028161717,2025-08-07 07:55:51,174465524
BLTE,Belite Bio Inc,146.6600,154.51; 154.38; 156.21; 156; 154.88; 151.97; 155.54; 153.52; 149.95; 143; 142.9; 139.7; 143.36; 144.25; 137.3; 142.01; 142.09; 148; 144.18,Tinlarebant (LBS-008) - (DRAGON),NCT05244304,Adolescent Stargardt disease (STGD1),phase4,Ongoing,Submission,2026-06-30,"NDA rolling submission initiated April 21, 2026, to be completed by end of 2Q 2026. Phase 3 2-year topline data demonstrated a clinically meaningful 35.7% reduction in the growth rate of atrophic retinal lesions compared to placebo along with a strong safety profile, noted April 27, 2026.",,49.99,59.89,Bull -% / Neutral -% / Bear -%,5769598534,2026-05-20 07:41:04,39339960
REGN,Regeneron Pharmaceuticals Inc.,603.0100,708.1854765637007; 701.2555020746888; 720.0083725218994; 708.0756354694944; 713.85727124635; 711.7403337943753; 722.3649632703242; 718.8400627017058; 711.8401893345628; 697.2413093591517; 628.7703654525894; 629.3894698017519; 649.76; 642.59; 638.88; 634.62; 627.74; 621.52; 614.78,C5 Combo (pozelimab and cemdisiran) - (NIMBLE),,Myasthenia gravis (MG),phase4,Ongoing,Submission,2026-06-30,"Phase 3 study met the primary and key secondary endpoints, noted August 26, 2025. Regulatory submission expected 1H 2026.",,—,—,Bull -% / Neutral -% / Bear -%,63218984686,2026-03-31 15:02:48,104839032
VRTX,Vertex Pharmaceuticals Incorporated,434.5100,429.85; 424.36; 427.65; 425; 429.82; 435.17; 448.29; 453.06; 450.41; 436.95; 436.58; 434.31; 430.44; 433.54; 434.52; 435.93; 437.22; 447.97; 447.54,TRIKAFTA,,Cystic fibrosis in patients one year to less than two years of age,phase4,Ongoing,,2026-06-30,"Submit for approvals in this age group to global regulators, beginning in the first half of 2026.",,55.03,61.74,Bull -% / Neutral -% / Bear -%,110280991741,2026-05-05 12:13:36,253805417
HCM,HUTCHMED (China) Limited,11.6250,13.22; 13.3; 13.43; 13.31; 13.13; 12.87; 12.67; 12.67; 12.69; 12.51; 11.95; 12.06; 11.91; 12.04; 11.99; 11.75; 11.72; 11.23; 11.45,Sovleplenib - (ESLIM-02),NCT05535933,Warm antibody autoimmune hemolytic anemia (wAIHA),phase4,Data Released,Submission,2026-06-30,"sNDA submission expected 1H 2026. Phase 2/3 topline data reported that trial met its primary endpoint of durable hemoglobin (Hb) response rate within weeks 5 to 24 of treatment, noted January 7, 2026.",,55.03,61.74,Bull -% / Neutral -% / Bear -%,2028161717,2026-03-06 07:39:20,174465524
KYTX,Kyverna Therapeutics Inc.,8.3550,9; 9.21; 9.47; 9.3; 9.35; 10.34; 10.23; 10.78; 10.74; 9.49; 8.54; 8.7; 8.57; 8.9; 8.67; 8.61; 8.59; 8.65; 8.52,"Miv-cel (mivocabtagene autoleucel, KYV-101) - (KYSA-8)",,Stiff-person syndrome (SPS),phase4,Data Released,Submission,2026-06-30,"BLA submission due in 1H 2026.  Phase 2 data presented at AAN reported a statistically significant improvement in the T25FW at Week 16 (p=0.0003), with a median improvement of 46% from baseline, regardless of baseline patient- and disease-related characteristics, noted April 21, 2026. Phase 2 trial achieved statistically significant clinical benefit across all primary and secondary endpoints, noted December 15, 2025.",,89.13,89.13,Bull 100% / Neutral 0% / Bear 0%,507943996,2026-04-22 05:27:06,60795212
DBVT,DBV Technologies S.A.,18.5700,19.47; 19.49; 20.1; 19.99; 19.73; 20.36; 20; 19.6; 19.84; 19.65; 18.75; 18.51; 18.54; 18.57; 18.18; 18.16; 18.5; 18.99; 19.1,Viaskin Peanut - (VITESSE),NCT05741476,Peanut allergy,phase4,Ongoing,Submission,2026-06-30,"Phase 3 study met its primary endpoint, noted December 16, 2025. BLA submission due in 1H 2026. Phase 3 additional data reported that 83% of children treated with the VIASKIN® Peanut Patch increased their eliciting dose at month 12, compared to approximately 48% in the placebo group, noted February 28, 2026.",,91.63,91.63,Bull 0% / Neutral 100% / Bear 0%,1099501641,2026-03-27 08:59:13,59208489
RNA,Atrium Therapeutics Inc.,12.6200,12.87; 12.91; 13.09; 12.96; 13.07; 13.25; 13.14; 13.3; 13.27; 13.23; 12.95; 12.95; 12.72; 13.04; 13.09; 13.06; 13; 13.36; 13,Delpacibart braxlosiran (del-brax) - (FORTITUDE),NCT05747924,Facioscapulohumeral Muscular Dystrophy (FSHD),phase4,Data Released,Submission,2026-06-30,"Data support planned accelerated approval BLA submission planned for 2Q 2026. Phase 1/2 topline data demonstrate improvement in function, strength, and PROs and rapid and significant reduction in biomarkers, noted June 9, 2025. Phase 3 FORTITUDE-3 readout and global regulatory submissions expected in 2028.",,94.73,94.73,Bull -% / Neutral -% / Bear -%,215873215,2025-11-11 08:08:34,17105643
LRMR,Larimar Therapeutics Inc.,3.5750,4.22; 4.01; 4.15; 4; 3.97; 4.09; 4.13; 4.1; 3.89; 3.58; 3.24; 3.33; 3.53; 3.57; 3.45; 3.47; 3.52; 3.49; 3.48,Nomlabofusp (CTI-1601),NCT04176991,Friedreich’s ataxia (FA),phase4,Trial Planned,Submission,2026-06-30,"FDA granted Breakthrough Therapy Designation (BTD), noted February 24, 2026. Phase 2 study showed that nomlabofusp increased frataxin (FXN) to levels seen in asymptomatic carriers and demonstrated consistent directional improvement across four key clinical measures in Friedreich’s ataxia patients; despite seven cases of anaphylaxis, all within the first 6 weeks, long-term dosing was generally well tolerated, leading the FDA to support Larimar’s revised dosing regimen, noted September 29, 2025. A BLA seeking accelerated approval is targeted for 2Q 2026, with commercial-scale manufacturing preparation underway.",,87.28,87.28,Bull 33% / Neutral 44% / Bear 22%,371381500,2026-03-19 07:30:44,103882937
SGMO,Sangamo Therapeutics Inc.,0.2300,0.1776; 0.1114; 0.1342; 0.1011; 0.115; 0.121; 0.1364; 0.1424; 0.1355; 0.135; 0.1276; 0.1469; 0.16; 0.156; 0.174315; 0.1851; 0.2; 0.2084; 0.21769499999999997,Civaparvovec (ST-920) - (STAAR),NCT04046224,Fabry disease,phase4,Data Released,Submission,2026-06-30,BLA rolling submission to be ongoing; the entire BLA is to be submitted at once in 2Q 2026.,,88.08,88.08,Bull 50% / Neutral 50% / Bear 0%,95286435,2026-03-09 13:42:35,414288847
NVO,Novo Nordisk A/S,44.2250,44.39; 44.87; 45.76; 45.8; 46.07; 46.4; 47; 47.08; 45.8; 44.74; 44.28; 44.28; 45.07; 44.39; 44.96; 44.19; 44.55; 45.51; 45.58,Sogroya (somapacitan) - (REAL8),,Noonan syndrome (NS),phase5,Ongoing,Regulatory Decision,2026-06-30,PDUFA decision due in 1H 2026.,,—,—,Bull -% / Neutral -% / Bear -%,197464625000,2026-02-05 09:23:43,4465000000
AZN,AstraZeneca PLC,180.8200,183.46; 181.24; 184.92; 182.52; 182.85; 181.86; 184.54; 187.72; 184.96; 181.58; 183.92; 184.64; 187.46; 189.75; 187.03; 187.19; 185.65; 185.33; 185.67,Truqap - (CAPItello-281),NCT04493853,Dephosphorylated Phosphatase and Tensin Homolog (dPTEN) Hormone-Sensitive Prostate Cancer (HSPC),phase5,Ongoing,Regulatory Decision,2026-06-30,"FDA’s Oncologic Drugs Advisory Committee voted 7–1 (1 abstention) demonstrated a favorable benefit-risk profile for PTEN-deficient metastatic hormone-sensitive prostate cancer based on study, which showed a 19% reduction in risk of radiographic progression or death and a 7.5-month improvement in median rPFS, noted May 1, 2026. PDUFA due in 1H 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,560754552489,2026-05-01 07:35:41,3101451738
REGN,Regeneron Pharmaceuticals Inc.,603.0100,708.1854765637007; 701.2555020746888; 720.0083725218994; 708.0756354694944; 713.85727124635; 711.7403337943753; 722.3649632703242; 718.8400627017058; 711.8401893345628; 697.2413093591517; 628.7703654525894; 629.3894698017519; 649.76; 642.59; 638.88; 634.62; 627.74; 621.52; 614.78,Otoferlin gene therapy (DB-OTO) - (CHORD),NCT05788536,Genetic hearing loss,phase5,Data Released,Regulatory Decision,2026-06-30,"Regulatory decision due in 1H 2026. Phase 1/2 data presented at ARO  from 48-week results from the first participant dosed in the trial showed improved hearing to near-normal levels across key speech frequencies, noted February 24, 2025. Phase 1/2 data reported that 11 of 12 experienced clinically meaningful hearing improvements, noted October 13, 2025.",,88.08,88.08,Bull -% / Neutral -% / Bear -%,63218984686,2026-01-30 08:44:24,104839032
