Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
GSK,GSK plc American Depositary Shares (Each representing two),49.4500,50.495313660170495; 49.97944798034165; 50.12825538798458; 50.09849390645599; 50.00920946187023; 49.41397983129848; 50.495313660170495; 50.58459810475626; 50.55483662322767; 49.67; 50.26; 51.05; 50.78; 51.53; 51.38; 51.5; 51.58; 51.24; 50.54,Tebipenem pivoxil,,cUTI,phase5,Ongoing,Regulatory Decision,2026-06-30,Regulatory decision due in 1H 2026.,,87.58,87.58,Bull -% / Neutral -% / Bear -%,101002330570,2026-04-29 09:34:10,2039412554
PFE,Pfizer Inc.,25.6550,25.8668709306779; 26.01440061279203; 26.09308310991957; 26.04390654921486; 25.68; 25.81; 25.87; 25.96; 25.75; 25.33; 25.33; 25.66; 25.79; 25.95; 25.9; 25.85; 26.21; 26.14; 26.18,HYMPAVZI (marstacimab),,Hemophilia A or B,phase5,Ongoing,,2026-06-30,PDUFA PR date in 2Q 2026.,,86.73,86.73,Bull -% / Neutral -% / Bear -%,146219240156,2026-05-13 10:12:54,5699444169
VRDN,Viridian Therapeutics Inc.,16.8000,14.06; 18.75; 17.53; 17; 16.61; 17.2; 16.86; 17.04; 17.43; 16.82; 16.1; 15.97; 17.63; 17.69; 17.24; 17; 17.26; 17.45; 17.62,VRDN-001 - (THRIVE),NCT05176639,Active Thyroid Eye Disease (TED),phase5,Ongoing,Regulatory Decision,2026-06-30,"PDUFA target action date of June 30, 2026.",,83.48,83.48,Bull -% / Neutral -% / Bear -%,1731655632,2025-12-22 09:16:59,103074740
VRDN,Viridian Therapeutics Inc.,16.8000,14.06; 18.75; 17.53; 17; 16.61; 17.2; 16.86; 17.04; 17.43; 16.82; 16.1; 15.97; 17.63; 17.69; 17.24; 17; 17.26; 17.45; 17.62,Veligrotug (VRDN-001) - (THRIVE-2),,Thyroid Eye Disease (TED),phase5,Ongoing,Regulatory Decision,2026-06-30,"PDUFA PR date of June 30, 2026.",,83.48,83.48,Bull 58% / Neutral 33% / Bear 8%,1731655632,2026-01-06 07:21:01,103074740
IONS,Ionis Pharmaceuticals Inc.,75.4650,75.45; 75.25; 76.85; 76.02; 75.71; 75.38; 75.83; 77.6; 75.68; 74.23; 72.52; 73.84; 75.06; 75.78; 75.56; 76.07; 76.49; 77.33; 76.5,Olezarsen - (CORE),NCT05079919,Hypertriglyceridemia,phase5,Ongoing,Regulatory Decision,2026-06-30,"PDUFA Priority Review date set for June 30, 2026.",,83.98,83.98,Bull 100% / Neutral 0% / Bear 0%,12471538789,2026-02-26 07:19:19,165262556
ELDN,Eledon Pharmaceuticals Inc.,3.7150,3.78; 3.78; 3.8; 3.86; 3.88; 3.82; 3.9; 3.88; 3.95; 3.8; 3.58; 3.58; 3.84; 3.89; 3.89; 3.89; 3.9; 3.87; 3.81,NCEL-101  + tegoprubart (AT-1501),,Type 1 Diabetes,phase0,Trial Planned,Submission,2026-06-30,"Submitted a pre-IND briefing package to the FDA for NCEL-101 in combination with tegoprubart for type 1 diabetes, with a Type B pre-IND meeting scheduled for June 2026, noted May 27, 2026.",,15.16,69,Bull -% / Neutral -% / Bear -%,286752762,2026-05-27 08:18:55,77187823
NCEL,NewcelX Ltd.,3.4800,3.78; 3.59; 3.32; 3.24; 3.36; 3.35; 3.33; 3.2399; 3.43; 3.21; 3.11; 3.18; 3.25; 3.18; 3.16; 3.15; 3.45; 3.54; 3.52,NCEL-101  + tegoprubart (AT-1501),,Type 1 Diabetes,phase0,Trial Planned,Submission,2026-06-30,"Submitted a pre-IND briefing package to the FDA for NCEL-101 in combination with tegoprubart for type 1 diabetes, with a Type B pre-IND meeting scheduled for June 2026, noted May 27, 2026.",,15.16,69,Bull -% / Neutral -% / Bear -%,18735871,2026-05-27 08:18:55,5383871
VERA,Vera Therapeutics Inc.,34.1700,35.51; 34.52; 36.595; 35.88; 36.19; 36.61; 36.7; 39.15; 39.56; 37.32; 34.35; 33.25; 34.62; 34.35; 34.04; 34.34; 34.27; 35.86; 35.52,Atacicept - (ORIGIN 3),NCT04716231,IgA Nephropathy,phase5,Ongoing,Regulatory Decision,2026-07-07,"PDUFA PR date of July 7, 2026.",,87.58,87.58,Bull 83% / Neutral 0% / Bear 17%,2452821830,2026-05-07 08:40:26,71782904
IONS,Ionis Pharmaceuticals Inc.,75.4650,75.45; 75.25; 76.85; 76.02; 75.71; 75.38; 75.83; 77.6; 75.68; 74.23; 72.52; 73.84; 75.06; 75.78; 75.56; 76.07; 76.49; 77.33; 76.5,Diranersen (IONIS-MAPTRx/BIIB080) - (CELIA),NCT05399888,Alzheimer's disease,phase2,Data Released,Conference Presentation,2026-07-12,"Phase 2 data to be presented at AAIC on July 12-15, 2026. Phase 2 topline data reported that trial did not meet primary endpoint, noted May 14, 2026.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,17.74,34.96,Bull -% / Neutral -% / Bear -%,12471538789,2026-05-14 07:31:50,165262556
BIIB,Biogen Inc.,193.0600,187.21; 189.13; 190.68; 191.38; 193.45; 197.95; 199.36; 204.53; 191.37; 192.95; 191.91; 190.56; 187.8; 189.47; 193.76; 193.08; 196.97; 196.39; 196,Diranersen (IONIS-MAPTRx/BIIB080) - (CELIA),NCT05399888,Alzheimer's disease,phase2,Data Released,Conference Presentation,2026-07-12,"Phase 2 data to be presented at AAIC on July 12-15, 2026. Phase 2 topline data reported that trial did not meet primary endpoint, noted May 14, 2026.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,17.74,34.96,Bull -% / Neutral -% / Bear -%,28502821808,2026-05-14 07:31:50,147637117
